
Image Name                     PID Session Name        Session#    Mem Usage
GoogleDriveFS.exe            10088 Console                    1      8,676 K
IGCCTray.exe                  9756 Console                    1     41,448 K
crashpad_handler.exe          4164 Console                    1      4,268 K
GoogleDriveFS.exe             3988 Console                    1     49,332 K
GoogleDriveFS.exe            10324 Console                    1     36,308 K
conhost.exe                  10344 Console                    1      7,336 K
GoogleDriveFS.exe            10428 Console                    1      9,484 K
GoogleDriveFS.exe            10444 Console                    1     13,328 K
GoogleDriveFS.exe            10464 Console                    1     12,600 K
GoogleDriveFS.exe            10472 Console                    1     23,656 K
dllhost.exe                  10992 Services                   0      7,692 K
IGCC.exe                      8976 Console                    1     35,924 K
TextInputHost.exe            11436 Console                    1     43,568 K
acrotray.exe                 12076 Console                    1      5,680 K
igfxext.exe                  12112 Console                    1      6,520 K
PhoneExperienceHost.exe      12200 Console                    1     47,244 K
RuntimeBroker.exe            11980 Console                    1     10,852 K
RAVBg64.exe                  11960 Console                    1      2,144 K
RAVCpl64.exe                 11804 Console                    1      1,824 K
SystemSettings.exe            8244 Console                    1        712 K
ApplicationFrameHost.exe      7592 Console                    1     30,472 K
svchost.exe                   5796 Services                   0      7,444 K
UserOOBEBroker.exe           12148 Console                    1      7,556 K
crashpad_handler.exe         10136 Console                    1      4,080 K
HxOutlook.exe                10304 Console                    1        360 K
RuntimeBroker.exe            12096 Console                    1     17,788 K
HxTsr.exe                    11360 Console                    1     22,728 K
aesm_service.exe              4424 Services                   0      9,424 K
DolbyDAX2API.exe              5740 Services                   0     24,220 K
SgrmBroker.exe                9420 Services                   0      6,172 K
SocketHeciServer.exe          8280 Services                   0      4,684 K
svchost.exe                   3248 Services                   0      8,268 K
svchost.exe                   3540 Services                   0     12,440 K
ShellExperienceHost.exe       6936 Console                    1     75,528 K
RuntimeBroker.exe             2824 Console                    1     31,692 K
svchost.exe                   2812 Services                   0     11,836 K
svchost.exe                   8776 Services                   0      5,040 K
svchost.exe                   8412 Services                   0      6,036 K
svchost.exe                   1228 Services                   0      6,144 K
taskhostw.exe                 6120 Console                    1      7,708 K
chrome.exe                    2608 Console                    1    270,804 K
chrome.exe                    1080 Console                    1      5,212 K
chrome.exe                    3736 Console                    1    288,272 K
chrome.exe                    8320 Console                    1     42,772 K
chrome.exe                    4224 Console                    1     12,940 K
chrome.exe                    4824 Console                    1     48,172 K
chrome.exe                    8364 Console                    1     44,188 K
chrome.exe                    2292 Console                    1      9,304 K
chrome.exe                   10488 Console                    1     43,800 K
chrome.exe                    6288 Console                    1     20,396 K
chrome.exe                    8520 Console                    1     15,408 K
crashpad_handler.exe         12264 Console                    1      4,216 K
Telegram.exe                  2380 Console                    1    145,920 K
Video.UI.exe                  2592 Console                    1        552 K
RuntimeBroker.exe             1268 Console                    1      5,568 K
Microsoft.Photos.exe          8396 Console                    1        660 K
RuntimeBroker.exe              624 Console                    1     33,036 K
OneDrive.exe                  9424 Console                    1     51,264 K
FMAPP.exe                    10972 Console                    1      1,436 K
SDXHelper.exe                 5256 Console                    1     16,988 K
chrome.exe                    3272 Console                    1    274,272 K
chrome.exe                   10200 Console                    1    255,564 K
rundll32.exe                  1876 Console                    1      8,212 K
chrome.exe                    3244 Console                    1    194,540 K
FileCoAuth.exe               11856 Console                    1     17,540 K
Atanua.exe                   12180 Console                    1     69,328 K
chrome.exe                    6284 Console                    1    275,236 K
chrome.exe                     428 Console                    1    306,084 K
chrome.exe                    1504 Console                    1     57,016 K
chrome.exe                    6588 Console                    1     30,532 K
svchost.exe                   2944 Services                   0     11,384 K
svchost.exe                   6868 Services                   0      9,440 K
SearchProtocolHost.exe        1812 Services                   0     13,556 K
SearchFilterHost.exe         11860 Services                   0      7,492 K
Cortana.exe                   4324 Console                    1     83,184 K
RuntimeBroker.exe            10864 Console                    1     40,996 K
svchost.exe                   2844 Services                   0     16,300 K
WmiPrvSE.exe                   352 Services                   0     11,608 K
svchost.exe                   9940 Services                   0     17,908 K
smartscreen.exe               6844 Console                    1     23,424 K
Code.exe                      9404 Console                    1     93,096 K
Code.exe                      1816 Console                    1     27,152 K
Code.exe                      6160 Console                    1    171,104 K
Code.exe                      4104 Console                    1     40,016 K
Code.exe                      5712 Console                    1    243,436 K
Code.exe                      7340 Console                    1    142,008 K
Code.exe                      1372 Console                    1    148,400 K
Code.exe                      6676 Console                    1     80,628 K
Code.exe                      6416 Console                    1     77,988 K
cpptools.exe                  7348 Console                    1     37,600 K
conhost.exe                   7924 Console                    1     10,820 K
cpptools.exe                  5292 Console                    1      3,340 K
Code.exe                      8160 Console                    1     76,512 K
cpptools-srv.exe              1764 Console                    1    177,476 K
conhost.exe                   3400 Console                    1     10,824 K
conhost.exe                   2744 Console                    1      6,352 K
powershell.exe                4032 Console                    1     76,088 K
main.exe                      9948 Console                    1      3,960 K
cmd.exe                         68 Console                    1      4,248 K
tasklist.exe                  5096 Console                    1      8,540 K
